Qual é o nome do professor responsável pela disciplina de Laboratório de Programação IV?	Prof. Jefferson Passerini
Qual é o nome da disciplina ministrada pelo Prof. Jefferson Passerini no 4º semestre?	Laboratório de Programação IV
Em qual semestre acadêmico é cursada a disciplina Laboratório de Programação IV?	4º Semestre
Qual é o nome do repositório oficial do GitHub para a disciplina do Prof. Jefferson Passerini?	suporteos2026
Qual é o nome de usuário do GitHub do Prof. Jefferson Passerini para os repositórios da disciplina?	jeffersonarpasserini
Qual é o link direto para o repositório oficial do GitHub da disciplina suporteos2026?	https://github.com/jeffersonarpasserini/suporteos2026
Qual é o identificador completo (usuário/repositório) do GitHub para o projeto suporteos2026?	jeffersonarpasserini/suporteos2026
Qual é a data da postagem referente ao repositório GitHub suporteos2026 nos registros da disciplina?	13/08/2026
Qual arquivo de documentação armazena os links e recursos dos repositórios do GitHub da disciplina?	links-recursos.md
Onde os estudantes encontram o material de suporte centralizado da disciplina no GitHub?	https://github.com/jeffersonarpasserini/suporteos2026
